user_id,age,gender,city,occupation
user_001,39,女,广州,产品经理
user_002,49,女,北京,设计师
user_003,47,女,上海,工程师
user_004,41,女,广州,产品经理
user_005,36,女,成都,工程师
user_006,55,女,成都,教师
user_007,59,女,广州,设计师
user_008,59,男,成都,运营
user_009,41,男,深圳,设计师
user_010,42,男,深圳,设计师
user_011,27,女,杭州,销售
user_012,35,男,广州,产品经理
user_013,40,女,北京,教师
user_014,26,女,广州,设计师
user_015,42,女,杭州,销售
user_016,38,男,上海,工程师
user_017,37,男,上海,产品经理
user_018,46,女,成都,工程师
user_019,50,男,上海,销售
user_020,24,男,成都,设计师
user_021,53,男,杭州,工程师
user_022,59,女,杭州,运营
user_023,35,男,广州,教师
user_024,40,女,成都,教师
user_025,27,男,北京,销售
user_026,51,男,杭州,设计师
user_027,55,男,深圳,设计师
user_028,29,女,深圳,产品经理
user_029,58,女,成都,教师
user_030,58,男,上海,工程师
user_031,28,女,深圳,设计师
user_032,23,女,北京,设计师
user_033,51,女,杭州,销售
user_034,24,女,上海,销售
user_035,39,女,成都,运营
user_036,24,女,北京,教师
user_037,26,男,成都,工程师
user_038,28,女,北京,运营
user_039,47,女,深圳,运营
user_040,27,男,广州,运营
user_041,50,男,深圳,销售
user_042,45,女,深圳,教师
user_043,60,男,成都,运营
user_044,22,女,北京,运营
user_045,38,男,深圳,销售
user_046,52,女,杭州,销售
user_047,47,男,北京,工程师
user_048,27,女,北京,销售
user_049,58,女,广州,运营
user_050,38,女,杭州,销售
user_051,36,女,广州,运营
user_052,21,女,广州,工程师
user_053,40,女,成都,产品经理
user_054,50,女,北京,工程师
user_055,57,男,深圳,运营
user_056,28,女,广州,工程师
user_057,59,男,广州,工程师
user_058,40,男,成都,设计师
user_059,18,男,杭州,教师
user_060,27,女,上海,教师
user_061,59,男,北京,销售
user_062,28,女,深圳,教师
user_063,35,女,上海,运营
user_064,27,男,成都,工程师
user_065,47,男,上海,教师
user_066,23,女,成都,销售
user_067,42,女,上海,产品经理
user_068,43,女,杭州,教师
user_069,33,女,广州,产品经理
user_070,59,男,上海,产品经理
user_071,29,女,上海,产品经理
user_072,37,男,成都,销售
user_073,59,女,广州,运营
user_074,31,男,成都,设计师
user_075,51,男,上海,销售
user_076,49,女,上海,销售
user_077,44,男,北京,教师
user_078,19,女,广州,运营
user_079,59,女,广州,产品经理
user_080,42,女,成都,教师
user_081,45,女,杭州,运营
user_082,25,男,成都,产品经理
user_083,18,女,成都,设计师
user_084,31,女,深圳,产品经理
user_085,18,女,北京,设计师
user_086,22,男,成都,教师
user_087,41,男,成都,工程师
user_088,60,男,上海,运营
user_089,36,男,上海,产品经理
user_090,56,男,广州,工程师
user_091,48,男,成都,工程师
user_092,21,女,上海,教师
user_093,34,女,上海,工程师
user_094,52,男,广州,教师
user_095,18,女,上海,设计师
user_096,32,男,北京,产品经理
user_097,37,女,北京,运营
user_098,21,女,广州,产品经理
user_099,38,男,深圳,产品经理
user_100,25,男,成都,设计师
